Sample 413: No. iterations = 229, Error = 0.000655837
Sample 414: No. iterations = 2, Error = 0.000408621
Sample 415: No. iterations = 44, Error = 0.000988916
Sample 416: No. iterations = 162, Error = 0.000710637
Sample 417: No. iterations = 93, Error = 0.000757635
Sample 418: No. iterations = 96, Error = 0.000950305
Sample 419: No. iterations = 129, Error = 0.000868927
Sample 420: No. iterations = 121, Error = 0.000892262
Sample 421: No. iterations = 97, Error = 0.000891342
Sample 422: No. iterations = 44, Error = 0.000623879
Sample 423: No. iterations = 8, Error = 0.000898904
Sample 424: No. iterations = 55, Error = 0.000625147
Sample 425: No. iterations = 105, Error = 0.000460463
Sample 426: No. iterations = 95, Error = 0.000448063
Sample 427: No. iterations = 103, Error = 0.000850661
Sample 428: No. iterations = 18, Error = 0.00052503
Sample 429: No. iterations = 11, Error = 0.000628312
Sample 430: No. iterations = 11, Error = 0.000681249
Sample 431: No. iterations = 67, Error = 0.000856335
Sample 432: No. iterations = 6, Error = 0.000845452
Sample 433: No. iterations = 90, Error = 0.000457662
Sample 434: No. iterations = 20, Error = 0.000446109
Sample 435: No. iterations = 98, Error = 0.000477631
Sample 436: No. iterations = 18, Error = 0.000843977
Sample 437: No. iterations = 168, Error = 0.000377945
Sample 438: No. iterations = 61, Error = 0.000444672
Sample 439: No. iterations = 88, Error = 0.000636885
Sample 440: No. iterations = 81, Error = 0.000952338
Sample 441: No. iterations = 146, Error = 0.000992884
Sample 442: No. iterations = 93, Error = 0.000623788
Sample 443: No. iterations = 26, Error = 0.000596124
Sample 444: No. iterations = 45, Error = 0.000782771
Sample 445: No. iterations = 512, Error = 0.320722
Sample 446: No. iterations = 11, Error = 0.000693679
Sample 447: No. iterations = 109, Error = 0.000865425
Sample 448: No. iterations = 92, Error = 0.000606389
Sample 449: No. iterations = 55, Error = 0.000714457
Sample 450: No. iterations = 141, Error = 0.000482419
Sample 451: No. iterations = 6, Error = 0.000778971
Sample 452: No. iterations = 153, Error = 0.00081167
Sample 453: No. iterations = 131, Error = 0.000428702
Sample 454: No. iterations = 74, Error = 0.000812764
Sample 455: No. iterations = 6, Error = 0.000580384
Sample 456: No. iterations = 10, Error = 0.000889942
Sample 457: No. iterations = 70, Error = 0.000907622
Sample 458: No. iterations = 100, Error = 0.000268599
Sample 459: No. iterations = 28, Error = 0.000865275
Sample 460: No. iterations = 105, Error = 0.000664711
Sample 461: No. iterations = 105, Error = 0.000459956
Sample 462: No. iterations = 1, Error = 0.000714231
Sample 463: No. iterations = 3, Error = 0.000730687
Sample 464: No. iterations = 74, Error = 0.000991807
Sample 465: No. iterations = 75, Error = 0.000940883
Sample 466: No. iterations = 98, Error = 0.00082755
Sample 467: No. iterations = 9, Error = 0.000650077
Sample 468: No. iterations = 8, Error = 0.000799337
Sample 469: No. iterations = 41, Error = 0.000504692
Sample 470: No. iterations = 50, Error = 0.000462504
Sample 471: No. iterations = 149, Error = 0.000973036
Sample 472: No. iterations = 100, Error = 0.000394141
